L Name,Latitude,Location Name,Longitude,Origin-Destination,Path ID,MODE,Carrier
NewYork,40.73061,PORT09,-73.93524,Origin,PORT09-PORT09,GROUND,V444_2
NewYork,40.73061,PORT09,-73.93524,Destination,PORT09-PORT09,GROUND,V444_2
NewYork,40.73061,PORT09,-73.93524,Origin,PORT09-PORT10,GROUND,V444_5
Texas,31,PORT10,-100,Destination,PORT09-PORT10,GROUND,V444_5
NewYork,40.73061,PORT09,-73.93524,Origin,PORT09-PORT04,AIR,V444_4
Virginia,39,PORT04,-80.5,Destination,PORT09-PORT04,AIR,V444_4
NewYork,40.73061,PORT09,-73.93524,Origin,PORT09-PORT05,GROUND,V444_3
Missouri,38.28427,PORT05,-92.58268,Destination,PORT09-PORT05,GROUND,V444_3
NewYork,40.73061,PORT09,-73.93524,Origin,PORT09-PORT10,AIR,V444_4
Texas,31,PORT10,-100,Destination,PORT09-PORT10,AIR,V444_4
NewYork,40.73061,PORT09,-73.93524,Origin,PORT09-PORT04,AIR,V444_0
Virginia,39,PORT04,-80.5,Destination,PORT09-PORT04,AIR,V444_0
NewYork,40.73061,PORT09,-73.93524,Origin,PORT09-PORT04,AIR,V444_1
Virginia,39,PORT04,-80.5,Destination,PORT09-PORT04,AIR,V444_1
NewYork,40.73061,PORT09,-73.93524,Origin,PORT09-PORT04,GROUND,V444_2
Virginia,39,PORT04,-80.5,Destination,PORT09-PORT04,GROUND,V444_2
NewYork,40.73061,PORT09,-73.93524,Origin,PORT09-PORT04,GROUND,V444_3
Virginia,39,PORT04,-80.5,Destination,PORT09-PORT04,GROUND,V444_3
NewYork,40.73061,PORT09,-73.93524,Origin,PORT09-PORT04,GROUND,V444_5
Virginia,39,PORT04,-80.5,Destination,PORT09-PORT04,GROUND,V444_5
